player_id,name,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9
abrej003,Jose Abreu,0.50959265,0.49156764,0.5367062,0.43062025,0.6271395,0.49563298,0.55313337,0.45191967,0.29123873
ackld001,Dustin Ackley,0.48843366,0.4649165,0.4236164,0.536816,0.57617366,0.44797564,0.39321917,0.54178125,0.55966043
adamc001,Cristhian Adames,0.4802013,0.42322284,0.41419607,0.52031916,0.4962535,0.51149136,0.43671495,0.5534374,0.51861507
adamm002,Matt Adams,0.533837,0.41590667,0.5647086,0.5235978,0.6437781,0.5462316,0.45606393,0.46696633,0.55212146
adrie001,Ehire Adrianza,0.47500178,0.49587765,0.44661868,0.49847248,0.47099656,0.5376633,0.3937029,0.53982496,0.5193978
ahmen001,Nick Ahmed,0.55126125,0.53200644,0.5392701,0.41172928,0.4068503,0.4583429,0.4963214,0.48987368,0.532563
alcaa001,Arismendy Alcantara,0.4874446,0.37592104,0.53345466,0.6079679,0.45138955,0.48151192,0.39860386,0.4839254,0.48641357
almoa001,Abraham Almonte,0.4573611,0.41509473,0.38748568,0.57326484,0.41995934,0.485074,0.4263445,0.51239574,0.48606277
alony001,Yonder Alonso,0.46299425,0.4960666,0.412392,0.5300878,0.6212597,0.52518153,0.4432017,0.51730174,0.63103956
altha001,Aaron Altherr,0.5096451,0.5290937,0.5790953,0.55751634,0.41771856,0.51010936,0.52856815,0.47113994,0.43648124
altuj001,Jose Altuve,0.4843444,0.5282604,0.4251568,0.2988664,0.48156604,0.48254475,0.5830068,0.39393684,0.49604055
alvap001,Pedro Alvarez,0.47300076,0.41015393,0.5341509,0.6241445,0.6350502,0.4909089,0.41834453,0.54193616,0.4159991
amara001,Alexi Amarista,0.54723144,0.42393285,0.3441493,0.5229992,0.5115508,0.43174133,0.4103009,0.53213495,0.6272482
andre001,Elvis Andrus,0.4393562,0.54065895,0.40750548,0.40585372,0.32724154,0.5151613,0.57932836,0.54845315,0.5581648
aokin001,Nori Aoki,0.31197083,0.49670666,0.30301476,0.41534537,0.37424725,0.37988275,0.45856136,0.5366642,0.6009195
arcio001,Oswaldo Arcia,0.45480525,0.39663455,0.5699183,0.60390085,0.6053336,0.55002105,0.43718702,0.44960076,0.4551746
