player_id,name,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9
abadf001,Fernando Abad,0.4354425,0.4998873,0.56991726,0.4671244,0.48963326,0.47801894,0.5237067,0.4701088,0.4555964
affej001,Jeremy Affeldt,0.618034,0.50677276,0.41740376,0.53155696,0.43197674,0.49571326,0.59893495,0.5037639,0.4905273
albea001,Andrew Albers,0.5635702,0.5694365,0.4975844,0.56013894,0.5483356,0.38597512,0.5272076,0.40310904,0.46990797
albem001,Matt Albers,0.494393,0.54216754,0.42151105,0.4887105,0.54613566,0.5751379,0.5849835,0.48344964,0.42103747
albua001,Al Alburquerque,0.46525717,0.48105133,0.4155354,0.45311582,0.47592485,0.5634464,0.4388368,0.597474,0.5213022
allec002,Cody Allen,0.45132607,0.49313653,0.5388302,0.42674065,0.4119666,0.5143531,0.4198574,0.5110833,0.5969402
alvah001,Henderson Alvarez,0.63786185,0.6012981,0.51523435,0.5055699,0.5622517,0.4744941,0.5389046,0.53804815,0.41083178
alvaj003,Jose Alvarez,0.5151286,0.44309747,0.51235086,0.5096347,0.4932764,0.48309448,0.5275137,0.49285135,0.51185834
andeb004,Brett Anderson,0.61089504,0.4862219,0.4721032,0.49344835,0.45712546,0.4927928,0.64780545,0.46345913,0.45042536
andec001,Chase Anderson,0.4584237,0.48599127,0.46866265,0.54077125,0.5393005,0.48987895,0.4600649,0.43631408,0.50786036
andec002,Cody Anderson,0.5537544,0.54405296,0.49281758,0.57872,0.57543707,0.47040656,0.5114989,0.4850445,0.46626937
andrm001,Matt Andriese,0.4776566,0.523624,0.5247453,0.51028097,0.519054,0.45760983,0.45520326,0.46029842,0.4904968
archc001,Chris Archer,0.4885242,0.501662,0.5579573,0.52747077,0.5356696,0.5523149,0.4883436,0.6199419,0.49220318
arrij001,Jake Arrieta,0.5379177,0.5819941,0.5176986,0.52795357,0.46607295,0.5878953,0.57574844,0.5497932,0.5794113
arrob001,Bronson Arroyo,0.5594057,0.50574994,0.4839315,0.5596997,0.60919666,0.4344598,0.5067146,0.44568777,0.5111406
atchs001,Scott Atchison,0.5269151,0.5406071,0.47499922,0.56707215,0.5524409,0.49737653,0.53795034,0.48733008,0.53454864
avill001,Luis Avilan,0.57992464,0.5083978,0.41482314,0.49170354,0.4111535,0.513339,0.6258886,0.45106062,0.5024472
axeld001,Dylan Axelrod,0.44877687,0.5384779,0.4435259,0.51203597,0.46824557,0.36181867,0.42824355,0.44619206,0.46049228
axfoj001,John Axford,0.5388262,0.45536554,0.4792116,0.44848138,0.44796544,0.49299502,0.44098216,0.6061031,0.51978534
badeb001,Burke Badenhop,0.5578218,0.59591365,0.4305179,0.53730637,0.53734696,0.45183325,0.5420102,0.50204426,0.51273
baezp001,Pedro Baez,0.45964354,0.51731026,0.57055354,0.51378167,0.52474856,0.44495204,0.47785693,0.52570957,0.54046744
baila001,Andrew Bailey,0.43240705,0.46816394,0.54597795,0.4413827,0.47111472,0.47742987,0.4335055,0.5258384,0.5660243
bailh001,Homer Bailey,0.50496995,0.45888114,0.51049674,0.5345855,0.5272721,0.47861028,0.5425207,0.54226744,0.49039906
bakes002,Scott Baker,0.46306783,0.5076344,0.6048486,0.54684436,0.4996799,0.3801936,0.522243,0.37508318,0.47447586
balfg001,Grant Balfour,0.49768442,0.48173428,0.51562774,0.5108109,0.40037656,0.5306776,0.4122681,0.5385233,0.54443496
barnm001,Matt Barnes,0.51636815,0.4793367,0.47353637,0.5003255,0.4985481,0.46378636,0.45262393,0.5000809,0.52844197
barrk002,Kyle Barraclough,0.45150805,0.42584056,0.5044879,0.4776832,0.41057223,0.58687705,0.44499776,0.51746804,0.52459234
bassa001,Anthony Bass,0.53360295,0.54111254,0.4014511,0.50236356,0.4545147,0.4393993,0.52901655,0.5120729,0.48509791
bassc001,Chris Bassitt,0.5352243,0.5070346,0.49061978,0.4608653,0.49948877,0.5386453,0.4713614,0.5158212,0.44537088
basta001,Antonio Bastardo,0.36687887,0.49431467,0.5550529,0.49188337,0.36853927,0.5405374,0.41514766,0.5209758,0.46416122
bauet001,Trevor Bauer,0.46486723,0.43398792,0.51561534,0.50608844,0.4396113,0.507543,0.43980774,0.46630803,0.53075516
beckj002,Josh Beckett,0.38442427,0.4585272,0.49370566,0.4951723,0.57219636,0.54092973,0.47063172,0.43456352,0.5002876
bedae001,Erik Bedard,0.45182246,0.49863955,0.5414434,0.5078712,0.43638837,0.49970827,0.44103175,0.49820644,0.46763805
bedrc001,Cam Bedrosian,0.46237138,0.51856714,0.48090667,0.45014906,0.39264536,0.51750064,0.4510149,0.50305265,0.46019313
beimj001,Joe Beimel,0.57495683,0.537852,0.535707,0.5348752,0.493394,0.43622494,0.49022138,0.46338874,0.421048
belim001,Matt Belisle,0.5755727,0.53132486,0.45839933,0.50578475,0.5020299,0.47707874,0.54426336,0.52215904,0.53335834
belir001,Ronald Belisario,0.52826136,0.53327596,0.3614296,0.41277748,0.53187704,0.52555346,0.6292894,0.5607821,0.44125396
bellh001,Heath Bell,0.508933,0.48515043,0.4518481,0.45877275,0.48788705,0.46826363,0.5212658,0.5115278,0.55491346
benoj001,Joaquin Benoit,0.44265103,0.4779331,0.5570594,0.51834565,0.5600462,0.58933055,0.4704909,0.5566344,0.5297089
bergc001,Christian Bergman,0.5407852,0.5572514,0.56392545,0.4658969,0.56566197,0.39591098,0.4124527,0.42750362,0.4189288
betad001,Dellin Betances,0.44710904,0.44789994,0.510612,0.41120788,0.3991744,0.5904958,0.5899354,0.57986844,0.6216158
bettc001,Chad Bettis,0.5103757,0.5341885,0.40201032,0.48745835,0.47424027,0.48376155,0.48396647,0.5195846,0.44417942
blanj001,Joe Blanton,0.47655356,0.47696114,0.45351234,0.43730244,0.51916254,0.40604648,0.53542435,0.45573965,0.52194214
blazm001,Michael Blazek,0.53487056,0.46752006,0.5142604,0.51498777,0.43796742,0.51571435,0.478623,0.45082718,0.5020923
blevj001,Jerry Blevins,0.428148,0.5544748,0.5305764,0.51196057,0.50854886,0.55779487,0.52692896,0.50455767,0.50758344
bolsm001,Mike Bolsinger,0.5201564,0.46969813,0.4489591,0.49807903,0.45979697,0.47685242,0.5000995,0.49546358,0.5168536
boxbb001,Brad Boxberger,0.4023612,0.41404033,0.58077985,0.44226238,0.3825289,0.5214792,0.48574367,0.4900481,0.5439023
boydm001,Matt Boyd,0.47471833,0.50353557,0.4876814,0.49907398,0.502461,0.47087437,0.4088353,0.4889313,0.47419268
boyeb001,Blaine Boyer,0.49238557,0.5973945,0.49249843,0.56142056,0.49298558,0.4802772,0.46650568,0.51203877,0.4559673
bracb001,Brad Brach,0.46702492,0.50931877,0.49555492,0.49102786,0.4359094,0.52946335,0.43457684,0.5315857,0.56627476
brada001,Archie Bradley,0.57509494,0.4463832,0.44268793,0.53351426,0.45767683,0.52531606,0.47049955,0.5051999,0.4757959
bresc001,Craig Breslow,0.5791609,0.5104561,0.5276875,0.4808059,0.45164442,0.4267573,0.4393024,0.5030803,0.45055234
britz001,Zach Britton,0.58946455,0.46195832,0.49870104,0.4649013,0.44963735,0.6149451,0.7632741,0.53203243,0.49485663
brotr001,Rex Brothers,0.53794044,0.47602415,0.5189528,0.47031307,0.35682043,0.509549,0.46199524,0.58917516,0.4396446
broxj001,Jonathan Broxton,0.515703,0.53641003,0.5435012,0.54364586,0.45085263,0.5095115,0.4864898,0.47590327,0.56558496
buchc001,Clay Buchholz,0.6084973,0.5462952,0.53197646,0.52692586,0.46299127,0.4666495,0.4913424,0.5327567,0.6070664
buchd001,David Buchanan,0.5680475,0.43626702,0.49151227,0.5400318,0.53222656,0.43747887,0.50030625,0.434514,0.45155928
buehm001,Mark Buehrle,0.59905934,0.559247,0.58239007,0.49382597,0.56845385,0.469526,0.5284455,0.43462077,0.45226765
bumgm001,Madison Bumgarner,0.4625193,0.5135242,0.6047084,0.46253312,0.55635333,0.555267,0.5393704,0.4739043,0.4835068
burna001,A.J. Burnett,0.49127233,0.43293333,0.41950727,0.46334362,0.5088607,0.48969442,0.50256526,0.55071664,0.47954643
burtj001,Jared Burton,0.43498284,0.489023,0.47086522,0.45696953,0.5247517,0.5006467,0.49472046,0.49513647,0.4798176
butle001,Eddie Butler,0.5301498,0.44919026,0.4218235,0.46954829,0.5053049,0.48489925,0.48913762,0.41834724,0.3074317
cahit001,Trevor Cahill,0.5187609,0.4885328,0.36496544,0.5031762,0.43784887,0.5251771,0.48438323,0.49819583,0.5044629
cainm001,Matt Cain,0.46082965,0.5003174,0.49788174,0.5432731,0.45225137,0.45635244,0.484713,0.40509483,0.5226455
camia001,Arquimedes Caminero,0.45914546,0.44235748,0.45567083,0.478239,0.5293049,0.5569382,0.50324035,0.51238555,0.49731088
cappc001,Carter Capps,0.47974038,0.45493817,0.50417554,0.40461913,0.4767083,0.51192623,0.5080661,0.5220527,0.57987446
capuc001,Chris Capuano,0.5350355,0.5030445,0.52222466,0.4034035,0.47838038,0.46289796,0.4906191,0.47327217,0.43396893
carmf001,Fausto Carmona,0.48310524,0.45173338,0.44971985,0.4953181,0.54125315,0.47771943,0.52849495,0.45351112,0.42339006
carpd001,David Carpenter,0.47302392,0.5066325,0.4857435,0.5078812,0.48689592,0.44581237,0.4565014,0.5253416,0.5729586
carrc003,Carlos Carrasco,0.5010897,0.5010779,0.5569756,0.44912407,0.5646929,0.5432625,0.5292571,0.53918225,0.54428726
carrs001,Scott Carroll,0.6004329,0.41219902,0.41058236,0.4929957,0.5065146,0.4542599,0.5293041,0.4388718,0.4707272
casha001,Andrew Cashner,0.5091995,0.57176423,0.49827334,0.52912146,0.55010134,0.54055935,0.48133564,0.5320754,0.4838376
cecib001,Brett Cecil,0.53244305,0.45715338,0.55410385,0.39081663,0.43256,0.52161115,0.56154907,0.59846914,0.5122395
cedex001,Xavier Cedeno,0.55648875,0.4611408,0.4944618,0.4432294,0.45855358,0.5155672,0.5922253,0.4947653,0.4856691
chacj001,Jhoulys Chacin,0.5139563,0.52298355,0.4564705,0.5384389,0.512828,0.4941949,0.4616996,0.49173203,0.46967927
chafa001,Andrew Chafin,0.5920472,0.50264144,0.42198253,0.5551574,0.47822776,0.5136709,0.552687,0.5531864,0.53152806
chamj002,Joba Chamberlain,0.5597031,0.4397913,0.5170918,0.47520584,0.45887163,0.5040792,0.48948494,0.5157829,0.5178738
chapa001,Aroldis Chapman,0.38993597,0.3808684,0.54154974,0.3928259,0.40789562,0.63477427,0.44493848,0.59548485,0.59166586
chatt001,Tyler Chatwood,0.56343687,0.46113428,0.38169548,0.5147218,0.57831144,0.5895581,0.54689366,0.52603865,0.43533605
chavj001,Jesse Chavez,0.509374,0.45111528,0.47674233,0.45221823,0.4980644,0.42183587,0.49268475,0.5550389,0.50101346
chenb001,Bruce Chen,0.49654505,0.5928724,0.5496915,0.49058414,0.5216574,0.4397397,0.4388626,0.43363932,0.48191422
chenw001,Wei-Yin Chen,0.47387844,0.5626998,0.5714675,0.49939772,0.48401594,0.46201813,0.5587605,0.39643735,0.49517187
choar001,Randy Choate,0.5672582,0.49677175,0.4490405,0.47652623,0.5121733,0.5729351,0.6490059,0.4817866,0.49206036
cingt001,Tony Cingrani,0.44383335,0.4075213,0.55016357,0.481077,0.4657585,0.5525949,0.38495657,0.5134017,0.46810943
cishs001,Steve Cishek,0.4526882,0.5344744,0.4255021,0.5034552,0.5079257,0.52905834,0.47965,0.5337403,0.6055911
clemp002,Paul Clemens,0.46999905,0.47610372,0.5162123,0.54791576,0.51472646,0.4586443,0.4169417,0.44706172,0.45897824
clipt001,Tyler Clippard,0.44010034,0.5180403,0.51882577,0.5728668,0.47653985,0.4984672,0.3777322,0.53599876,0.60169876
cobba001,Alex Cobb,0.51441044,0.48906916,0.48771358,0.4895733,0.53375226,0.54845303,0.5969888,0.5797512,0.49713513
cokep001,Phil Coke,0.5044681,0.4980921,0.47386223,0.45815814,0.49663007,0.503984,0.55136293,0.43185827,0.46304318
coleg001,Gerrit Cole,0.50516605,0.5080071,0.45995888,0.43958575,0.61639243,0.54877186,0.49268115,0.56276083,0.49713868
colel001,Louis Coleman,0.4547516,0.5234989,0.4726102,0.5411793,0.4911836,0.5296501,0.4255846,0.4992832,0.4975403
collj001,Josh Collmenter,0.48713595,0.55297846,0.47477767,0.5524547,0.50469524,0.4176981,0.48372772,0.39257154,0.55212086
coloa001,Alex Colome,0.4687841,0.5268755,0.5128411,0.51765126,0.5198135,0.5246372,0.42999512,0.48206815,0.5058183
colob001,Bartolo Colon,0.49868354,0.64505225,0.56465846,0.53243154,0.66717553,0.4160126,0.47295508,0.52699906,0.49903724
conla001,Adam Conley,0.53097063,0.53802115,0.5035938,0.52551955,0.52188355,0.48779857,0.50292885,0.50298053,0.50178474
cookr001,Ryan Cook,0.4921956,0.51576185,0.4784549,0.4935861,0.4633052,0.56675184,0.47207177,0.5209105,0.5170234
corbp001,Patrick Corbin,0.52446204,0.54902506,0.5263126,0.47959635,0.42338592,0.48462227,0.5417045,0.4635978,0.5150695
corrk001,Kevin Correia,0.5538132,0.5154701,0.44919938,0.54259723,0.5677444,0.38262907,0.44756824,0.4932094,0.48523816
cosaj001,Jarred Cosart,0.6104075,0.56406593,0.4536333,0.5903658,0.43167862,0.56509936,0.5119399,0.54237247,0.4973627
cottn001,Neal Cotts,0.49659038,0.469414,0.583207,0.48405504,0.50175554,0.53771716,0.50620735,0.5200596,0.46378335
crowa001,Aaron Crow,0.47733596,0.47726673,0.4746305,0.5219661,0.54265726,0.53355086,0.40597278,0.45953217,0.46573266
cuetj001,Johnny Cueto,0.5042254,0.48397517,0.5790517,0.5476062,0.49285188,0.4947189,0.5869511,0.46337596,0.52367723
cumpb001,Brandon Cumpton,0.54428345,0.5438756,0.5062555,0.48629406,0.4988741,0.4080782,0.5302665,0.49857086,0.42504048
dankj001,John Danks,0.5425753,0.45956802,0.5755633,0.51271385,0.50289327,0.46513465,0.4784979,0.4006918,0.47759327
darvy001,Yu Darvish,0.4527558,0.4751076,0.51528484,0.46954376,0.45749593,0.4959937,0.4481591,0.57209885,0.60033846
daviw001,Wade Davis,0.52442825,0.46318159,0.5511501,0.43130603,0.45884043,0.50520563,0.4997605,0.51472944,0.53677976
daviz001,Zach Davies,0.5676782,0.45816115,0.44986787,0.5026244,0.4661437,0.53902483,0.52932733,0.49760327,0.4743818
dedus001,Samuel Deduno,0.5455562,0.44173846,0.4353032,0.45973766,0.4671973,0.55590886,0.5546713,0.49494046,0.45714328
defrj001,Justin De Fratus,0.43635088,0.5117228,0.47739562,0.46060342,0.4662287,0.5132502,0.43904904,0.49046573,0.42736325
degrj001,Jacob deGrom,0.4968373,0.57308805,0.56393874,0.45477253,0.47551042,0.5290411,0.5200654,0.43887597,0.5696602
delaj001,Jorge de la Rosa,0.48111337,0.45706853,0.5426533,0.47370073,0.5051091,0.60637635,0.5404953,0.41943616,0.37947953
delar003,Rubby de la Rosa,0.47604126,0.43769094,0.4742644,0.5091341,0.5390709,0.46045682,0.4760474,0.4355727,0.48384586
delas001,Steve Delabar,0.43464547,0.43352124,0.5006556,0.42484635,0.42579758,0.54578185,0.42062706,0.56899196,0.47057003
delgr001,Randall Delgado,0.5038503,0.46993783,0.5410955,0.49605638,0.50783426,0.51519215,0.43706626,0.4342437,0.5227357
dempr002,Ryan Dempster,0.50984275,0.4704798,0.49525037,0.53812015,0.418768,0.4914964,0.4359351,0.48334765,0.5521815
desca001,Anthony DeSclafani,0.52687025,0.50798756,0.49926922,0.5134246,0.55709517,0.47030574,0.46097857,0.49578872,0.49723968
despo001,Odrisamer Despaigne,0.53618276,0.51857275,0.4070449,0.5570293,0.55059016,0.5211123,0.49216524,0.46462634,0.5242056
detwr001,Ross Detwiler,0.55142874,0.5042031,0.42619482,0.4692868,0.45063266,0.43630782,0.4983678,0.42233264,0.4357007
diams001,Scott Diamond,0.5560208,0.5533049,0.46926996,0.5571298,0.5174449,0.39806902,0.4733698,0.39447966,0.4207223
diazj005,Jumbo Diaz,0.47250018,0.456052,0.47704735,0.4693758,0.5070804,0.4910777,0.49524108,0.5440396,0.5294745
dickr001,R.A. Dickey,0.52254325,0.42620236,0.5789311,0.5522018,0.5114964,0.4990316,0.54708874,0.4547626,0.4694162
diekj001,Jake Diekman,0.5002713,0.48103043,0.47397456,0.41237566,0.35211408,0.50473636,0.5489489,0.563147,0.51730496
dools001,Sean Doolittle,0.43185425,0.5664096,0.61478215,0.5041638,0.5514516,0.47848853,0.5068321,0.5812088,0.5324899
doubf001,Felix Doubront,0.5375912,0.51224375,0.5835116,0.41191483,0.3746796,0.47456208,0.5034964,0.4681585,0.3864395
downs001,Scott Downs,0.5754396,0.46629536,0.40936342,0.51294523,0.45834303,0.54634833,0.5590902,0.54213816,0.48945817
